,Unnamed: 0,path,x,y,w,h,image_id
25,25,HAM10000_images_part_1/ISIC_0025514.jpg,186,115,273,260,ISIC_0025514
26,26,HAM10000_images_part_1/ISIC_0025272.jpg,125,52,377,327,ISIC_0025272
27,27,HAM10000_images_part_1/ISIC_0028756.jpg,157,105,264,269,ISIC_0028756
28,28,HAM10000_images_part_1/ISIC_0027465.jpg,162,24,218,233,ISIC_0027465
29,29,HAM10000_images_part_1/ISIC_0028742.jpg,296,0,325,390,ISIC_0028742
30,30,HAM10000_images_part_1/ISIC_0027471.jpg,219,160,219,156,ISIC_0027471
31,31,HAM10000_images_part_1/ISIC_0025266.jpg,179,97,222,225,ISIC_0025266
32,32,HAM10000_images_part_1/ISIC_0025500.jpg,242,139,295,284,ISIC_0025500
33,33,HAM10000_images_part_1/ISIC_0028024.jpg,187,0,319,449,ISIC_0028024
34,34,HAM10000_images_part_1/ISIC_0027317.jpg,199,106,451,394,ISIC_0027317
35,35,HAM10000_images_part_1/ISIC_0026009.jpg,191,56,295,319,ISIC_0026009
36,36,HAM10000_images_part_1/ISIC_0027840.jpg,96,31,444,381,ISIC_0027840
37,37,HAM10000_images_part_1/ISIC_0026586.jpg,111,49,379,347,ISIC_0026586
38,38,HAM10000_images_part_1/ISIC_0027698.jpg,354,292,143,129,ISIC_0027698
39,39,HAM10000_images_part_1/ISIC_0024391.jpg,108,186,219,227,ISIC_0024391
40,40,HAM10000_images_part_1/ISIC_0025931.jpg,170,48,304,311,ISIC_0025931
41,41,HAM10000_images_part_1/ISIC_0025925.jpg,41,48,476,402,ISIC_0025925
42,42,HAM10000_images_part_1/ISIC_0024385.jpg,134,259,177,196,ISIC_0024385
43,43,HAM10000_images_part_1/ISIC_0027854.jpg,93,66,276,314,ISIC_0027854
44,44,HAM10000_images_part_1/ISIC_0026592.jpg,70,134,424,230,ISIC_0026592
45,45,HAM10000_images_part_1/ISIC_0028597.jpg,124,71,274,244,ISIC_0028597
46,46,HAM10000_images_part_1/ISIC_0025919.jpg,138,0,196,195,ISIC_0025919
47,47,HAM10000_images_part_1/ISIC_0027868.jpg,29,223,362,277,ISIC_0027868
48,48,HAM10000_images_part_1/ISIC_0028583.jpg,98,150,270,240,ISIC_0028583
49,49,HAM10000_images_part_1/ISIC_0024352.jpg,155,103,266,292,ISIC_0024352
50,50,HAM10000_images_part_1/ISIC_0028568.jpg,127,221,111,110,ISIC_0028568
51,51,HAM10000_images_part_1/ISIC_0027883.jpg,127,60,345,369,ISIC_0027883
52,52,HAM10000_images_part_1/ISIC_0026545.jpg,91,21,447,408,ISIC_0026545
53,53,HAM10000_images_part_1/ISIC_0029110.jpg,254,7,218,236,ISIC_0029110
54,54,HAM10000_images_part_1/ISIC_0026223.jpg,217,135,159,172,ISIC_0026223
55,55,HAM10000_images_part_1/ISIC_0024434.jpg,177,167,217,183,ISIC_0024434
56,56,HAM10000_images_part_1/ISIC_0024420.jpg,253,79,274,300,ISIC_0024420
57,57,HAM10000_images_part_1/ISIC_0029104.jpg,228,151,147,147,ISIC_0029104
58,58,HAM10000_images_part_1/ISIC_0026237.jpg,267,170,116,114,ISIC_0026237
59,59,HAM10000_images_part_1/ISIC_0027129.jpg,166,144,260,203,ISIC_0027129
60,60,HAM10000_images_part_1/ISIC_0027897.jpg,70,68,347,323,ISIC_0027897
61,61,HAM10000_images_part_1/ISIC_0026551.jpg,117,79,372,313,ISIC_0026551
62,62,HAM10000_images_part_1/ISIC_0025058.jpg,124,122,376,288,ISIC_0025058
63,63,HAM10000_images_part_1/ISIC_0024346.jpg,96,0,241,250,ISIC_0024346
64,64,HAM10000_images_part_1/ISIC_0027667.jpg,123,0,365,449,ISIC_0027667
65,65,HAM10000_images_part_1/ISIC_0028554.jpg,26,38,513,395,ISIC_0028554
66,66,HAM10000_images_part_1/ISIC_0026579.jpg,154,27,324,393,ISIC_0026579
67,67,HAM10000_images_part_1/ISIC_0025070.jpg,82,0,138,126,ISIC_0025070
68,68,HAM10000_images_part_1/ISIC_0024408.jpg,224,145,148,147,ISIC_0024408
69,69,HAM10000_images_part_1/ISIC_0025716.jpg,0,0,519,449,ISIC_0025716
70,70,HAM10000_images_part_1/ISIC_0027101.jpg,131,0,383,445,ISIC_0027101
71,71,HAM10000_images_part_1/ISIC_0028232.jpg,316,205,186,174,ISIC_0028232
72,72,HAM10000_images_part_1/ISIC_0029138.jpg,158,110,302,243,ISIC_0029138
73,73,HAM10000_images_part_1/ISIC_0027115.jpg,0,52,599,350,ISIC_0027115
74,74,HAM10000_images_part_1/ISIC_0028226.jpg,177,117,247,218,ISIC_0028226
75,75,HAM10000_images_part_1/ISIC_0025702.jpg,231,156,148,155,ISIC_0025702
76,76,HAM10000_images_part_1/ISIC_0025064.jpg,192,136,197,178,ISIC_0025064
77,77,HAM10000_images_part_1/ISIC_0027673.jpg,44,23,518,449,ISIC_0027673
78,78,HAM10000_images_part_1/ISIC_0028540.jpg,96,64,477,286,ISIC_0028540
79,79,HAM10000_images_part_1/ISIC_0027934.jpg,60,178,432,246,ISIC_0027934
80,80,HAM10000_images_part_1/ISIC_0025845.jpg,151,45,389,357,ISIC_0025845
81,81,HAM10000_images_part_1/ISIC_0024583.jpg,36,0,599,402,ISIC_0024583
82,82,HAM10000_images_part_1/ISIC_0026394.jpg,188,77,249,228,ISIC_0026394
83,83,HAM10000_images_part_1/ISIC_0026380.jpg,93,0,373,306,ISIC_0026380
84,84,HAM10000_images_part_1/ISIC_0025851.jpg,90,2,461,449,ISIC_0025851
85,85,HAM10000_images_part_1/ISIC_0024597.jpg,157,185,268,198,ISIC_0024597
86,86,HAM10000_images_part_1/ISIC_0025689.jpg,155,84,275,266,ISIC_0025689
87,87,HAM10000_images_part_1/ISIC_0027920.jpg,161,84,271,245,ISIC_0027920
88,88,HAM10000_images_part_1/ISIC_0027908.jpg,214,93,230,225,ISIC_0027908
89,89,HAM10000_images_part_1/ISIC_0028385.jpg,195,145,204,186,ISIC_0028385
90,90,HAM10000_images_part_1/ISIC_0025879.jpg,62,39,481,340,ISIC_0025879
91,91,HAM10000_images_part_1/ISIC_0028391.jpg,210,0,213,214,ISIC_0028391
92,92,HAM10000_images_part_1/ISIC_0025138.jpg,143,29,241,290,ISIC_0025138
93,93,HAM10000_images_part_1/ISIC_0026431.jpg,441,0,209,232,ISIC_0026431
94,94,HAM10000_images_part_1/ISIC_0027049.jpg,195,101,232,232,ISIC_0027049
95,95,HAM10000_images_part_1/ISIC_0029064.jpg,97,34,282,330,ISIC_0029064
96,96,HAM10000_images_part_1/ISIC_0026357.jpg,175,7,360,425,ISIC_0026357
97,97,HAM10000_images_part_1/ISIC_0025886.jpg,4,223,454,277,ISIC_0025886
98,98,HAM10000_images_part_1/ISIC_0024540.jpg,126,89,342,255,ISIC_0024540
99,99,HAM10000_images_part_1/ISIC_0025892.jpg,165,107,270,240,ISIC_0025892
100,100,HAM10000_images_part_1/ISIC_0024554.jpg,410,196,141,134,ISIC_0024554
101,101,HAM10000_images_part_1/ISIC_0029070.jpg,377,1,153,176,ISIC_0029070
102,102,HAM10000_images_part_1/ISIC_0026343.jpg,229,120,160,170,ISIC_0026343
103,103,HAM10000_images_part_1/ISIC_0026425.jpg,73,131,519,303,ISIC_0026425
104,104,HAM10000_images_part_1/ISIC_0028408.jpg,150,94,275,250,ISIC_0028408
105,105,HAM10000_images_part_1/ISIC_0027713.jpg,89,2,302,311,ISIC_0027713
106,106,HAM10000_images_part_1/ISIC_0028420.jpg,50,42,424,362,ISIC_0028420
107,107,HAM10000_images_part_1/ISIC_0025104.jpg,142,9,328,308,ISIC_0025104
108,108,HAM10000_images_part_1/ISIC_0025662.jpg,161,61,268,320,ISIC_0025662
109,109,HAM10000_images_part_1/ISIC_0027075.jpg,124,25,345,386,ISIC_0027075
110,110,HAM10000_images_part_1/ISIC_0028346.jpg,0,0,100,100,ISIC_0028346
111,111,HAM10000_images_part_1/ISIC_0029058.jpg,0,22,374,346,ISIC_0029058
112,112,HAM10000_images_part_1/ISIC_0027061.jpg,48,157,304,274,ISIC_0027061
113,113,HAM10000_images_part_1/ISIC_0028352.jpg,92,105,253,229,ISIC_0028352
114,114,HAM10000_images_part_1/ISIC_0025676.jpg,0,0,303,449,ISIC_0025676
115,115,HAM10000_images_part_1/ISIC_0024568.jpg,181,58,278,308,ISIC_0024568
116,116,HAM10000_images_part_1/ISIC_0025110.jpg,0,62,516,391,ISIC_0025110
117,117,HAM10000_images_part_1/ISIC_0026419.jpg,99,288,128,142,ISIC_0026419
118,118,HAM10000_images_part_1/ISIC_0027707.jpg,112,83,373,399,ISIC_0027707
119,119,HAM10000_images_part_1/ISIC_0028434.jpg,357,0,293,323,ISIC_0028434
120,120,HAM10000_images_part_1/ISIC_0027288.jpg,115,124,276,281,ISIC_0027288
121,121,HAM10000_images_part_1/ISIC_0026196.jpg,104,0,433,381,ISIC_0026196
122,122,HAM10000_images_part_1/ISIC_0024959.jpg,178,105,278,275,ISIC_0024959
123,123,HAM10000_images_part_1/ISIC_0024781.jpg,186,114,193,202,ISIC_0024781
124,124,HAM10000_images_part_1/ISIC_0028805.jpg,216,51,231,196,ISIC_0028805
125,125,HAM10000_images_part_1/ISIC_0026828.jpg,194,81,281,226,ISIC_0026828
126,126,HAM10000_images_part_1/ISIC_0028811.jpg,0,0,100,100,ISIC_0028811
127,127,HAM10000_images_part_1/ISIC_0024795.jpg,134,0,516,449,ISIC_0024795
128,128,HAM10000_images_part_1/ISIC_0026182.jpg,229,161,136,129,ISIC_0026182
129,129,HAM10000_images_part_1/ISIC_0024965.jpg,21,257,599,243,ISIC_0024965
130,130,HAM10000_images_part_1/ISIC_0028187.jpg,0,36,433,302,ISIC_0028187
131,131,HAM10000_images_part_1/ISIC_0029299.jpg,241,128,202,178,ISIC_0029299
132,132,HAM10000_images_part_1/ISIC_0028839.jpg,190,64,304,324,ISIC_0028839
133,133,HAM10000_images_part_1/ISIC_0026814.jpg,110,118,442,337,ISIC_0026814
134,134,HAM10000_images_part_1/ISIC_0026800.jpg,114,104,383,248,ISIC_0026800
135,135,HAM10000_images_part_1/ISIC_0028193.jpg,10,32,482,449,ISIC_0028193
136,136,HAM10000_images_part_1/ISIC_0024971.jpg,129,124,293,250,ISIC_0024971
137,137,HAM10000_images_part_1/ISIC_0024742.jpg,36,48,306,283,ISIC_0024742
138,138,HAM10000_images_part_1/ISIC_0026155.jpg,139,190,285,215,ISIC_0026155
139,139,HAM10000_images_part_1/ISIC_0029266.jpg,0,8,296,413,ISIC_0029266
140,140,HAM10000_images_part_1/ISIC_0028178.jpg,105,70,384,398,ISIC_0028178
141,141,HAM10000_images_part_1/ISIC_0026633.jpg,220,140,147,180,ISIC_0026633
142,142,HAM10000_images_part_1/ISIC_0027539.jpg,32,0,502,449,ISIC_0027539
143,143,HAM10000_images_part_1/ISIC_0026627.jpg,143,14,317,306,ISIC_0026627
144,144,HAM10000_images_part_1/ISIC_0026141.jpg,219,5,345,351,ISIC_0026141
145,145,HAM10000_images_part_1/ISIC_0029272.jpg,71,41,392,389,ISIC_0029272
146,146,HAM10000_images_part_1/ISIC_0024756.jpg,90,120,268,293,ISIC_0024756
147,147,HAM10000_images_part_1/ISIC_0025448.jpg,0,64,392,245,ISIC_0025448
148,148,HAM10000_images_part_1/ISIC_0026169.jpg,80,0,458,449,ISIC_0026169
149,149,HAM10000_images_part_1/ISIC_0028144.jpg,54,70,400,355,ISIC_0028144
150,150,HAM10000_images_part_1/ISIC_0027277.jpg,107,8,401,434,ISIC_0027277
151,151,HAM10000_images_part_1/ISIC_0025460.jpg,154,11,304,383,ISIC_0025460
152,152,HAM10000_images_part_1/ISIC_0025306.jpg,47,58,432,290,ISIC_0025306
153,153,HAM10000_images_part_1/ISIC_0028622.jpg,163,145,357,344,ISIC_0028622
154,154,HAM10000_images_part_1/ISIC_0027511.jpg,89,14,422,446,ISIC_0027511
155,155,HAM10000_images_part_1/ISIC_0028636.jpg,62,4,513,419,ISIC_0028636
156,156,HAM10000_images_part_1/ISIC_0027505.jpg,114,133,517,309,ISIC_0027505
157,157,HAM10000_images_part_1/ISIC_0025312.jpg,253,179,112,120,ISIC_0025312
158,158,HAM10000_images_part_1/ISIC_0025474.jpg,65,7,467,435,ISIC_0025474
159,159,HAM10000_images_part_1/ISIC_0028150.jpg,102,79,357,337,ISIC_0028150
160,160,HAM10000_images_part_1/ISIC_0027263.jpg,146,139,271,318,ISIC_0027263
161,161,HAM10000_images_part_1/ISIC_0025313.jpg,96,69,434,347,ISIC_0025313
162,162,HAM10000_images_part_1/ISIC_0027504.jpg,208,53,306,259,ISIC_0027504
163,163,HAM10000_images_part_1/ISIC_0028637.jpg,31,15,530,404,ISIC_0028637
164,164,HAM10000_images_part_1/ISIC_0027262.jpg,170,98,295,293,ISIC_0027262
165,165,HAM10000_images_part_1/ISIC_0028151.jpg,196,104,242,279,ISIC_0028151
166,166,HAM10000_images_part_1/ISIC_0025475.jpg,169,51,324,233,ISIC_0025475
167,167,HAM10000_images_part_1/ISIC_0025461.jpg,277,128,341,242,ISIC_0025461
168,168,HAM10000_images_part_1/ISIC_0027276.jpg,137,62,280,238,ISIC_0027276
169,169,HAM10000_images_part_1/ISIC_0028145.jpg,136,82,370,327,ISIC_0028145
170,170,HAM10000_images_part_1/ISIC_0026168.jpg,0,37,555,362,ISIC_0026168
171,171,HAM10000_images_part_1/ISIC_0027510.jpg,169,60,264,318,ISIC_0027510
172,172,HAM10000_images_part_1/ISIC_0028623.jpg,472,364,120,123,ISIC_0028623
173,173,HAM10000_images_part_1/ISIC_0025307.jpg,96,0,434,449,ISIC_0025307
174,174,HAM10000_images_part_1/ISIC_0026626.jpg,328,176,271,317,ISIC_0026626
175,175,HAM10000_images_part_1/ISIC_0027538.jpg,215,156,193,221,ISIC_0027538
176,176,HAM10000_images_part_1/ISIC_0025449.jpg,137,160,245,227,ISIC_0025449
177,177,HAM10000_images_part_1/ISIC_0024757.jpg,65,67,400,311,ISIC_0024757
178,178,HAM10000_images_part_1/ISIC_0029273.jpg,158,55,331,351,ISIC_0029273
179,179,HAM10000_images_part_1/ISIC_0026140.jpg,193,87,197,229,ISIC_0026140
180,180,HAM10000_images_part_1/ISIC_0028179.jpg,79,30,250,352,ISIC_0028179
181,181,HAM10000_images_part_1/ISIC_0029267.jpg,122,62,380,434,ISIC_0029267
182,182,HAM10000_images_part_1/ISIC_0026154.jpg,156,88,200,233,ISIC_0026154
183,183,HAM10000_images_part_1/ISIC_0024743.jpg,0,0,100,100,ISIC_0024743
184,184,HAM10000_images_part_1/ISIC_0026632.jpg,10,0,421,429,ISIC_0026632
185,185,HAM10000_images_part_1/ISIC_0026801.jpg,41,91,395,314,ISIC_0026801
186,186,HAM10000_images_part_1/ISIC_0024970.jpg,159,48,336,343,ISIC_0024970
187,187,HAM10000_images_part_1/ISIC_0028192.jpg,155,84,231,194,ISIC_0028192
188,188,HAM10000_images_part_1/ISIC_0029298.jpg,161,122,232,211,ISIC_0029298
189,189,HAM10000_images_part_1/ISIC_0028186.jpg,224,2,291,253,ISIC_0028186
190,190,HAM10000_images_part_1/ISIC_0024964.jpg,74,0,414,417,ISIC_0024964
191,191,HAM10000_images_part_1/ISIC_0026815.jpg,0,0,100,100,ISIC_0026815
192,192,HAM10000_images_part_1/ISIC_0028838.jpg,154,0,284,298,ISIC_0028838
193,193,HAM10000_images_part_1/ISIC_0028810.jpg,147,121,269,215,ISIC_0028810
194,194,HAM10000_images_part_1/ISIC_0026183.jpg,65,246,225,169,ISIC_0026183
195,195,HAM10000_images_part_1/ISIC_0024794.jpg,81,273,161,192,ISIC_0024794
196,196,HAM10000_images_part_1/ISIC_0024780.jpg,0,0,179,225,ISIC_0024780
197,197,HAM10000_images_part_1/ISIC_0024958.jpg,102,56,269,297,ISIC_0024958
198,198,HAM10000_images_part_1/ISIC_0026197.jpg,192,151,262,232,ISIC_0026197
199,199,HAM10000_images_part_1/ISIC_0027289.jpg,14,95,256,211,ISIC_0027289
200,200,HAM10000_images_part_1/ISIC_0026829.jpg,198,166,149,128,ISIC_0026829
201,201,HAM10000_images_part_1/ISIC_0028804.jpg,227,26,175,160,ISIC_0028804
202,202,HAM10000_images_part_1/ISIC_0024569.jpg,105,35,347,449,ISIC_0024569
203,203,HAM10000_images_part_1/ISIC_0025677.jpg,50,224,233,253,ISIC_0025677
204,204,HAM10000_images_part_1/ISIC_0028353.jpg,57,0,426,448,ISIC_0028353
205,205,HAM10000_images_part_1/ISIC_0027060.jpg,49,23,508,360,ISIC_0027060
206,206,HAM10000_images_part_1/ISIC_0028435.jpg,115,11,405,449,ISIC_0028435
207,207,HAM10000_images_part_1/ISIC_0027706.jpg,153,116,341,269,ISIC_0027706
208,208,HAM10000_images_part_1/ISIC_0026418.jpg,52,27,523,414,ISIC_0026418
209,209,HAM10000_images_part_1/ISIC_0025111.jpg,338,111,103,103,ISIC_0025111
210,210,HAM10000_images_part_1/ISIC_0025105.jpg,164,25,447,449,ISIC_0025105
211,211,HAM10000_images_part_1/ISIC_0028421.jpg,235,359,162,141,ISIC_0028421
212,212,HAM10000_images_part_1/ISIC_0027712.jpg,135,100,342,336,ISIC_0027712
213,213,HAM10000_images_part_1/ISIC_0029059.jpg,185,175,167,144,ISIC_0029059
214,214,HAM10000_images_part_1/ISIC_0028347.jpg,197,135,202,178,ISIC_0028347
215,215,HAM10000_images_part_1/ISIC_0027074.jpg,484,0,166,245,ISIC_0027074
216,216,HAM10000_images_part_1/ISIC_0025663.jpg,123,38,441,349,ISIC_0025663
217,217,HAM10000_images_part_1/ISIC_0026342.jpg,4,8,562,366,ISIC_0026342
218,218,HAM10000_images_part_1/ISIC_0029071.jpg,108,28,265,393,ISIC_0029071
219,219,HAM10000_images_part_1/ISIC_0024555.jpg,114,176,162,182,ISIC_0024555
220,220,HAM10000_images_part_1/ISIC_0025893.jpg,452,316,133,127,ISIC_0025893
221,221,HAM10000_images_part_1/ISIC_0028409.jpg,113,136,233,231,ISIC_0028409
222,222,HAM10000_images_part_1/ISIC_0026424.jpg,134,130,310,282,ISIC_0026424
223,223,HAM10000_images_part_1/ISIC_0026430.jpg,234,0,341,264,ISIC_0026430
224,224,HAM10000_images_part_1/ISIC_0025139.jpg,129,0,352,440,ISIC_0025139
225,225,HAM10000_images_part_1/ISIC_0024541.jpg,179,124,268,247,ISIC_0024541
226,226,HAM10000_images_part_1/ISIC_0025887.jpg,27,7,529,449,ISIC_0025887
227,227,HAM10000_images_part_1/ISIC_0026356.jpg,88,64,247,273,ISIC_0026356
228,228,HAM10000_images_part_1/ISIC_0029065.jpg,86,33,326,355,ISIC_0029065
229,229,HAM10000_images_part_1/ISIC_0027048.jpg,244,131,253,270,ISIC_0027048
230,230,HAM10000_images_part_1/ISIC_0028390.jpg,34,0,509,449,ISIC_0028390
231,231,HAM10000_images_part_1/ISIC_0027909.jpg,0,0,599,449,ISIC_0027909
232,232,HAM10000_images_part_1/ISIC_0025878.jpg,33,239,253,261,ISIC_0025878
233,233,HAM10000_images_part_1/ISIC_0028384.jpg,277,100,118,116,ISIC_0028384
234,234,HAM10000_images_part_1/ISIC_0025688.jpg,356,209,133,133,ISIC_0025688
235,235,HAM10000_images_part_1/ISIC_0024596.jpg,137,76,338,319,ISIC_0024596
236,236,HAM10000_images_part_1/ISIC_0025850.jpg,183,96,233,219,ISIC_0025850
237,237,HAM10000_images_part_1/ISIC_0026381.jpg,120,14,174,185,ISIC_0026381
238,238,HAM10000_images_part_1/ISIC_0027921.jpg,29,16,391,386,ISIC_0027921
239,239,HAM10000_images_part_1/ISIC_0027935.jpg,313,188,179,211,ISIC_0027935
240,240,HAM10000_images_part_1/ISIC_0026395.jpg,203,140,211,178,ISIC_0026395
241,241,HAM10000_images_part_1/ISIC_0024582.jpg,250,203,145,165,ISIC_0024582
242,242,HAM10000_images_part_1/ISIC_0025844.jpg,220,49,114,114,ISIC_0025844
243,243,HAM10000_images_part_1/ISIC_0025703.jpg,123,285,200,215,ISIC_0025703
244,244,HAM10000_images_part_1/ISIC_0028227.jpg,432,1,152,127,ISIC_0028227
245,245,HAM10000_images_part_1/ISIC_0027114.jpg,180,99,275,274,ISIC_0027114
246,246,HAM10000_images_part_1/ISIC_0029139.jpg,144,79,296,352,ISIC_0029139
247,247,HAM10000_images_part_1/ISIC_0028541.jpg,173,69,238,318,ISIC_0028541
248,248,HAM10000_images_part_1/ISIC_0027672.jpg,180,94,231,166,ISIC_0027672
249,249,HAM10000_images_part_1/ISIC_0025065.jpg,201,166,154,139,ISIC_0025065
250,250,HAM10000_images_part_1/ISIC_0025071.jpg,68,31,480,418,ISIC_0025071
251,251,HAM10000_images_part_1/ISIC_0026578.jpg,226,100,310,279,ISIC_0026578
252,252,HAM10000_images_part_1/ISIC_0028555.jpg,129,7,401,408,ISIC_0028555
253,253,HAM10000_images_part_1/ISIC_0027666.jpg,59,0,433,380,ISIC_0027666
254,254,HAM10000_images_part_1/ISIC_0028233.jpg,331,0,317,315,ISIC_0028233
255,255,HAM10000_images_part_1/ISIC_0027100.jpg,162,103,310,276,ISIC_0027100
256,256,HAM10000_images_part_1/ISIC_0025717.jpg,61,0,516,449,ISIC_0025717
257,257,HAM10000_images_part_1/ISIC_0024409.jpg,234,373,112,115,ISIC_0024409
258,258,HAM10000_images_part_1/ISIC_0027128.jpg,143,36,347,293,ISIC_0027128
259,259,HAM10000_images_part_1/ISIC_0026236.jpg,218,141,163,171,ISIC_0026236
260,260,HAM10000_images_part_1/ISIC_0029105.jpg,88,41,545,449,ISIC_0029105
261,261,HAM10000_images_part_1/ISIC_0024421.jpg,148,214,502,286,ISIC_0024421
262,262,HAM10000_images_part_1/ISIC_0024347.jpg,75,28,349,327,ISIC_0024347
263,263,HAM10000_images_part_1/ISIC_0025059.jpg,148,24,309,299,ISIC_0025059
264,264,HAM10000_images_part_1/ISIC_0026550.jpg,180,191,261,210,ISIC_0026550
265,265,HAM10000_images_part_1/ISIC_0027896.jpg,331,115,159,185,ISIC_0027896
266,266,HAM10000_images_part_1/ISIC_0026544.jpg,246,187,103,103,ISIC_0026544
267,267,HAM10000_images_part_1/ISIC_0027882.jpg,50,0,446,449,ISIC_0027882
268,268,HAM10000_images_part_1/ISIC_0028569.jpg,120,0,371,342,ISIC_0028569
269,269,HAM10000_images_part_1/ISIC_0024353.jpg,95,99,282,359,ISIC_0024353
270,270,HAM10000_images_part_1/ISIC_0024435.jpg,209,155,219,206,ISIC_0024435
271,271,HAM10000_images_part_1/ISIC_0026222.jpg,119,58,331,331,ISIC_0026222
272,272,HAM10000_images_part_1/ISIC_0029111.jpg,91,108,330,290,ISIC_0029111
273,273,HAM10000_images_part_1/ISIC_0025918.jpg,127,138,279,242,ISIC_0025918
274,274,HAM10000_images_part_1/ISIC_0028582.jpg,66,71,460,308,ISIC_0028582
275,275,HAM10000_images_part_1/ISIC_0027869.jpg,77,140,321,236,ISIC_0027869
276,276,HAM10000_images_part_1/ISIC_0028596.jpg,181,87,152,132,ISIC_0028596
277,277,HAM10000_images_part_1/ISIC_0025924.jpg,138,80,325,286,ISIC_0025924
278,278,HAM10000_images_part_1/ISIC_0026593.jpg,30,99,391,285,ISIC_0026593
279,279,HAM10000_images_part_1/ISIC_0027855.jpg,154,103,301,267,ISIC_0027855
280,280,HAM10000_images_part_1/ISIC_0024384.jpg,453,0,197,141,ISIC_0024384
281,281,HAM10000_images_part_1/ISIC_0024390.jpg,38,0,473,448,ISIC_0024390
282,282,HAM10000_images_part_1/ISIC_0027699.jpg,187,140,255,231,ISIC_0027699
283,283,HAM10000_images_part_1/ISIC_0026587.jpg,164,28,251,236,ISIC_0026587
284,284,HAM10000_images_part_1/ISIC_0027841.jpg,173,86,272,239,ISIC_0027841
285,285,HAM10000_images_part_1/ISIC_0025930.jpg,124,119,251,212,ISIC_0025930
286,286,HAM10000_images_part_1/ISIC_0025267.jpg,70,33,400,358,ISIC_0025267
287,287,HAM10000_images_part_1/ISIC_0027470.jpg,192,78,209,222,ISIC_0027470
288,288,HAM10000_images_part_1/ISIC_0028743.jpg,147,71,232,268,ISIC_0028743
289,289,HAM10000_images_part_1/ISIC_0026008.jpg,119,128,308,219,ISIC_0026008
290,290,HAM10000_images_part_1/ISIC_0027316.jpg,2,0,505,449,ISIC_0027316
291,291,HAM10000_images_part_1/ISIC_0028025.jpg,176,37,273,273,ISIC_0028025
292,292,HAM10000_images_part_1/ISIC_0025501.jpg,35,92,392,373,ISIC_0025501
293,293,HAM10000_images_part_1/ISIC_0025515.jpg,0,0,100,100,ISIC_0025515
294,294,HAM10000_images_part_1/ISIC_0027302.jpg,238,121,161,166,ISIC_0027302
295,295,HAM10000_images_part_1/ISIC_0028031.jpg,0,0,287,449,ISIC_0028031
296,296,HAM10000_images_part_1/ISIC_0027464.jpg,123,49,292,311,ISIC_0027464
297,297,HAM10000_images_part_1/ISIC_0028757.jpg,222,96,213,204,ISIC_0028757
298,298,HAM10000_images_part_1/ISIC_0025273.jpg,178,0,296,369,ISIC_0025273
299,299,HAM10000_images_part_1/ISIC_0026752.jpg,193,117,275,189,ISIC_0026752
300,300,HAM10000_images_part_1/ISIC_0024623.jpg,103,10,386,382,ISIC_0024623
301,301,HAM10000_images_part_1/ISIC_0026034.jpg,289,245,224,204,ISIC_0026034
302,302,HAM10000_images_part_1/ISIC_0028019.jpg,371,319,113,128,ISIC_0028019
